Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
0,3,1,1,0,0,21,25,13,3,3,3,3,4,4,5,5,5,3,4,5,3,3,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,4,1,0,0,2,10,15,1,27,3,2,2,3,2,5,5,3,3,2,2,0,2,1,45,3.0,5,2,2.8,0.4736842105263158
2,0,2,2,1,0,21,25,21,27,3,3,5,4,5,5,3,5,3,4,5,0,0,1,0,3.9066666666666654,5,2,3.3,0.7368421052631579
3,0,2,0,0,2,37,17,4,30,4,2,4,3,3,5,5,4,3,3,3,0,2,1,30,5.0,5,2,3.3,0.7368421052631579
2,0,2,0,0,0,45,8,14,27,4,3,3,2,1,5,5,3,3,3,3,0,0,1,49,3.0,5,2,3.3,0.7368421052631579
2,4,2,0,1,0,30,4,17,27,5,3,4,4,3,5,5,4,4,3,3,0,4,1,27,5.0,5,2,3.3,0.7368421052631579
1,5,1,2,1,2,45,25,9,19,2,2,3,2,1,5,3,3,2,3,2,0,4,1,20,5.0,5,2,2.8,0.4736842105263158
0,1,1,0,0,2,44,3,1,27,4,3,5,4,3,5,5,4,3,3,2,3,2,1,0,3.0,5,2,2.8,0.4736842105263158
0,1,0,2,1,0,21,25,14,26,3,2,2,2,1,4,4,3,3,2,2,2,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,0,0,0,0,34,9,0,15,2,3,4,3,1,4,3,3,4,4,3,0,0,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,0,1,0,1,7,8,24,11,2,3,4,3,2,4,4,3,3,2,2,0,0,1,45,4.0,5,2,2.25,0.1842105263157895
0,1,0,0,0,2,11,24,1,15,5,4,5,3,4,5,5,4,4,3,3,0,2,1,49,5.0,5,2,2.25,0.1842105263157895
1,1,1,0,0,1,12,9,15,12,2,3,4,2,2,5,5,4,4,2,3,3,0,1,23,4.0,5,2,2.8,0.4736842105263158
1,1,1,1,0,0,16,21,17,27,4,4,5,3,4,5,4,4,3,4,2,0,2,1,20,5.0,5,2,2.8,0.4736842105263158
1,1,0,0,0,2,19,9,14,28,4,3,5,3,3,5,4,3,3,4,3,0,0,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,0,1,1,1,21,9,14,15,2,2,3,3,2,4,4,3,3,2,2,0,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
2,1,1,1,1,2,38,11,0,27,3,3,3,4,3,5,5,4,4,4,5,0,0,1,0,4.0,5,2,2.8,0.4736842105263158
3,1,2,1,0,0,36,21,3,29,4,3,5,5,5,5,4,4,4,4,5,0,0,1,17,4.0,5,2,3.3,0.7368421052631579
2,1,0,2,1,0,17,9,0,27,5,3,5,3,4,4,5,3,4,5,4,0,0,1,23,4.0,5,2,2.25,0.1842105263157895
1,1,1,2,1,0,21,18,1,14,5,5,3,4,5,4,5,5,4,5,5,0,4,1,23,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,1,1,0,2,34,9,0,26,4,4,3,4,4,5,5,5,4,5,5,3,0,1,45,5.0,5,2,2.8,0.4736842105263158
2,1,2,0,0,2,21,25,15,27,3,3,4,2,2,5,5,2,2,2,2,0,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,1,1,2,0,0,45,11,1,26,4,2,3,3,2,5,4,3,3,2,2,0,2,1,0,4.0,5,2,2.8,0.4736842105263158
2,1,1,0,0,2,34,17,5,27,2,1,1,2,1,4,4,2,2,2,1,3,2,1,49,5.0,5,2,2.8,0.4736842105263158
3,1,2,2,1,2,16,7,13,11,4,1,2,2,1,5,3,3,2,2,1,3,2,1,0,5.0,5,2,3.3,0.7368421052631579
1,1,2,0,0,2,12,25,14,27,2,1,4,2,3,5,5,2,3,2,2,0,2,1,0,5.0,5,2,3.3,0.7368421052631579
0,1,0,2,1,2,34,9,14,15,3,2,2,2,2,5,3,2,3,2,2,3,2,1,45,3.0,5,2,2.25,0.1842105263157895
0,1,0,2,1,0,34,7,0,2,2,2,2,5,4,5,3,5,5,3,5,0,3,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,1,1,0,2,12,9,21,2,5,3,5,1,3,3,5,2,3,5,5,3,2,1,25,4.0,5,2,2.8,0.4736842105263158
1,1,0,1,0,2,45,23,21,10,3,3,2,5,2,5,5,5,5,5,5,2,0,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,1,0,0,0,3,23,0,3,3,3,3,4,4,4,4,5,5,5,5,0,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
