Timestamp,Year of study,Faculty ,Your GPA Range  ,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events? ,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences? 
04/08/2025 02:55:09,1st Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",2,2,3,1,2,4,1,2,2,1,1,Physical,Occasionally,Yes,Academy,,,
04/08/2025 02:56:42,3rd Year,Applied Sciences,,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","Coursera, LinkedIn Learning","Based on interest, Recommended by peers","Interactive Quizzes, Notes/PDF",1,3,4,4,4,5,5,5,4,5,4,Online,Monthly,Yes,,,,
04/08/2025 02:57:37,3rd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology","YouTube, KhanAcademy, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",3,2,4,2,2,5,5,1,2,2,1,Hybrid,Occasionally,Yes,"Academic,sports",,,
04/08/2025 02:59:44,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Psychology,"YouTube, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",3,2,1,2,2,3,4,2,2,2,2,Physical,Rarely,No,,,,
04/08/2025 03:00:25,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","KhanAcademy, University LMS",Based on interest,"Notes/PDF, Live Sessions",1,2,1,2,3,1,2,3,3,3,3,Online,Monthly,Yes,,,,
04/08/2025 03:00:38,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Business & Management, Competitive Exams / Certifications","YouTube, University LMS",Required for exams,"Video Lectures, Interactive Quizzes",5,3,4,4,4,3,4,5,4,4,5,Hybrid,Monthly,Yes,Cultural,4,,
04/08/2025 03:01:05,2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications","Coursera, KhanAcademy, University LMS",Random browsing,"Video Lectures, Notes/PDF, Live Sessions",2,1,2,1,1,2,5,2,2,1,1,Hybrid,Occasionally,No,,,,
12/08/2025 11:43:06,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Business & Management, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning","Based on interest, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF",3,5,5,4,1,4,4,3,4,2,5,Online,No preference,No,,,,
12/08/2025 12:08:16,3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Psychology, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS",Suggested by platform,Notes/PDF,3,5,3,2,1,3,4,5,3,4,5,Online,Occasionally,Yes,Social ,4,Meet new people,-
12/08/2025 12:16:29,2nd Year,Applied Sciences,Below 2.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS","Recommended by peers, Required for exams","Video Lectures, Interactive Quizzes, Discussion Forums",2,4,5,4,3,4,5,3,3,1,4,Physical,Occasionally,Yes,Sports meet,4,,
